"id","size","flower_n","log_size","repro","size_next","flower_n_next","survival","log_size_next","repro_next"
389,0.151727294805622,4,-1.8856704826053,1,0.252028728596791,NA,1,-1.37821219560027,0
390,0.0897943145782436,NA,-2.41023361772456,0,0.0791204148885653,NA,1,-2.53678434789269,0
391,0.494520868099077,4,-0.7041659284072,1,0.699475103662754,6,1,-0.357425077128649,1
402,0.0691033021426668,NA,-2.67215276146802,0,NA,NA,0,NA,NA
417,0.03536983394049,NA,-3.34189597070113,0,NA,NA,0,NA,NA
477,0.530807611451127,NA,-0.63335563704301,0,0.47149597479651,NA,1,-0.751844713962012,0
478,0.172060246964652,NA,-1.75991059044967,0,0.231492204068281,NA,1,-1.46320908175386,0
479,0.0572082838397123,NA,-2.86105656870954,0,0.241515693346874,NA,1,-1.42082082519801,0
480,0.293139680115954,NA,-1.22710605961659,0,0.240059767564709,NA,1,-1.42686735512373,0
481,0.941667352632742,NA,-0.0601031956104219,0,0.651694791995743,1,1,-0.428178937089355,1
482,1.21546493255625,NA,0.19512666413676,0,0.975470293817361,2,1,-0.0248355716457357,1
483,2.40206184785291,NA,0.876327471807952,0,1.73479160237418,4,1,0.5508872922792,1
502,0.283711104855253,NA,-1.25979879498221,0,0.0895954345614805,NA,1,-2.41245091385433,0
536,0.585067954128541,NA,-0.536027277592948,0,NA,NA,0,NA,NA
537,0.0603409301774548,NA,-2.80774462976754,0,NA,NA,0,NA,NA
8000,0.0466609949005512,NA,-3.0648466902726,0,0.0424893784248941,NA,1,-3.15850115370108,0
8001,0.0108592974125114,NA,-4.52273366154969,0,0.00236537093764273,NA,1,-6.04682042466785,0
8007,0.198601921001847,NA,-1.61645285469958,0,0.779170422902713,5,1,-0.249525485661318,1
8008,0.044515473503193,NA,-3.11191843107737,0,0.099224981404192,NA,1,-2.31036546772354,0
8009,0.0266983137252377,NA,-3.62315487192852,0,0.026781547757702,NA,1,-3.62004214510533,0
8010,0.59162675299726,NA,-0.524879327739181,0,2.21855653212374,17,1,0.796856773650428,1
8011,0.11861376347974,1,-2.13188274957552,1,1.20944206775537,7,1,0.190159152240259,1
8012,0.652924200126837,23,-0.426294235881673,1,0.735395791119131,8,1,-0.307346433385177,1
8013,0.459277223789327,6,-0.778101277842892,1,1.48727255564276,9,1,0.396943942977102,1
8020,0.0476508317622222,NA,-3.04385519337379,0,0.0605321410850074,NA,1,-2.80458079740927,0
8021,0.0492006184993246,1,-3.01184908443841,1,0.332241012253898,2,1,-1.10189463290923,1
8024,0.0356493230564919,NA,-3.33402512089982,0,0.296368617913153,NA,1,-1.21615126865161,0
278,NA,NA,NA,NA,0.877895157071779,6,NA,-0.130228103557069,1
319,NA,NA,NA,NA,2.57111198915322,8,NA,0.944338485932235,1
8002,NA,NA,NA,NA,0.0299151995216968,NA,NA,-3.5093885825419,0
8003,NA,NA,NA,NA,0.00877615849881893,NA,NA,-4.735716495687,0
8004,NA,NA,NA,NA,0.214456815762415,NA,NA,-1.53964688599963,0
8005,NA,NA,NA,NA,0.0736441165708746,NA,NA,-2.60851102289132,0
8006,NA,NA,NA,NA,0.33350527354346,2,NA,-1.09809660102746,1
8022,NA,NA,NA,NA,0.0321914801591092,NA,NA,-3.43605345277425,0
8023,NA,NA,NA,NA,0.0563548426790934,NA,NA,-2.87608710289711,0
8025,NA,NA,NA,NA,0.0330977536483981,NA,NA,-3.4082898645094,0
8026,NA,NA,NA,NA,0.0231119143002975,NA,NA,-3.76740702384267,0
8027,NA,NA,NA,NA,0.0625291536066151,NA,NA,-2.77212237329152,0
